fill,nbx,lumi pb-1,ilumi fb-1,run1,Era,Notes
5746,589,85.172,40.666,296070,,
5749,589,2.528,40.751,296168,,
5750,589,50.136,40.753,296172,,
5822,9,0.094,40.804,296641,,
5824,589,43.259,40.804,296663,,
5825,973,13.934,40.847,296702,,
5830,973,132.244,40.861,296786,,
5833,973,70.596,40.993,296866,,
5834,973,114.22,41.064,296887,,
5837,1213,209.778,41.178,296966,,
5838,1213,70.209,41.388,297001,,
5839,1213,140.88,41.458,297046,,
5840,1213,153.207,41.599,297056,,
5842,1549,254.129,41.752,297099,,
5845,1729,93.102,42.006,297113,,
5848,1729,380.669,42.099,297168,,
5849,2017,519.711,42.480,297211,,
5856,2161,427.429,43.000,297281,,
5862,2305,44.229,43.427,297359,,
5864,2305,214.129,43.471,297411,,
5865,2305,347.049,43.685,297424,,
5868,2448,89.472,44.032,297467,,
5870,2448,8.596,44.122,297474,,
5872,2448,518.893,44.130,297483,,
5873,2448,390.383,44.649,297494,,
5876,2448,399.72,45.040,297557,,
5878,2448,435.853,45.439,297598,,
5880,2544,87.912,45.875,297620,,
5882,2544,390.334,45.963,297656,,
5883,2544,253.32,46.354,297670,,
5885,2544,12.27,46.607,297713,,
5887,2544,189.539,46.619,297722,,
5919,1,0.001,46.809,298653,,
5920,1,0.011,46.809,298673,,
5930,51,2.663,46.809,298809,,
5934,589,26.598,46.811,298853,,
5942,1344,54.59,46.838,298996,,
5946,1344,4.933,46.893,299042,,
5950,2161,334.154,46.897,299061,,
5952,2305,56.831,47.232,299096,,
5954,2305,125.203,47.288,299149,,
5958,2305,226.573,47.414,299178,,
5960,2304,186.859,47.640,299316,,
5962,2447,330.149,47.827,299368,,
5963,2544,85.622,48.157,299380,,
5965,2543,99.173,48.243,299393,,
5966,2543,17.399,48.342,299420,,
5971,2544,44.497,48.359,299443,,
5974,2544,14.988,48.404,299450,,
5976,2543,518.668,48.419,299477,,
5979,2544,460.866,48.938,299592,,
5980,1271,153.734,49.398,299614,,
5984,2544,111.63,49.552,299649,,
6012,24,0.055,49.664,299996,,
6015,31,0.001,49.664,300007,,
6016,32,0.122,49.664,300015,,2017 VdM fill
6018,590,2.05,49.664,300079,,
6019,591,14.872,49.666,300087,,
6020,2544,54.78,49.681,300104,,
6021,2543,10.769,49.736,300117,,
6024,2544,535.15,49.746,300122,,
6026,2544,523.113,50.282,300155,,
6030,2544,135.598,50.805,300226,,
6031,2543,522.253,50.940,300233,,
6035,2544,423.139,51.463,300280,,
6041,2543,110.519,51.886,300364,,
6044,2543,440.301,51.996,300389,,
6046,2543,487.797,52.437,300459,,
6048,2543,67.379,52.924,300497,,
6050,2543,523.394,52.992,300514,,
6052,2543,486.921,53.515,300538,,
6053,2543,353.799,54.002,300574,,
6054,2543,561.306,54.356,300631,,
6055,2544,48.053,54.917,300673,,
6057,2543,105.106,54.965,300742,,
6060,2543,496.653,55.070,300777,,
6061,2542,427.108,55.567,300806,,
6072,589,5.806,55.994,301046,,
6079,589,22.92,56.000,301086,,
6082,972,104.957,56.023,301141,,
6084,1152,123.133,56.128,301161,,
6086,1344,71.778,56.251,301179,,
6089,1343,149.44,56.323,301281,,
6090,1535,165.804,56.472,301298,,
6091,1728,178.087,56.638,301323,,
6093,1727,70.246,56.816,301330,,
6094,1728,62.674,56.886,301359,,
6096,1728,102.822,56.949,301383,,
6097,1727,296.122,57.052,301391,,
6098,1919,74.58,57.348,301417,,
6104,1535,214.886,57.422,301447,,
6105,1727,107.24,57.637,301461,,
6106,1727,295.029,57.745,301472,,
6110,1728,254.928,58.040,301519,,
6114,1728,67.858,58.295,301567,,
6116,1727,136.219,58.362,301627,,
6119,1727,142.361,58.499,301664,,
6123,2208,20.314,58.641,301694,,
6136,973,92.034,58.661,301912,,
6138,1151,78.452,58.753,301941,,
6140,1535,304.196,58.832,301959,,
6141,1538,33.279,59.136,301969,,
6142,1537,309.282,59.169,301984,,
6143,1537,297.807,59.478,301997,,
6146,1537,10.377,59.776,302019,,
6147,1537,314.156,59.787,302026,,
6152,1151,122.304,60.101,302131,,
6155,1151,17.622,60.223,302159,,
6156,1152,166.529,60.241,302163,,
6158,1152,109.437,60.407,302225,,
6159,1343,112.624,60.517,302228,,
6160,1343,146.838,60.629,302239,,
6161,1537,253.085,60.776,302262,,
6165,1151,189.922,61.029,302277,,
6167,1120,102.821,61.219,302322,,
6168,1344,101.31,61.322,302328,,
6169,1568,159.624,61.423,302337,,
6170,1736,136.243,61.583,302388,,
6171,1909,248.604,61.719,302392,,
6174,1909,324.153,61.968,302448,,
6175,1908,322.434,62.292,302472,,
6176,1908,74.485,62.614,302479,,
6177,1908,340.891,62.689,302484,,
6179,1909,14.799,63.030,302509,,
